minute_ts_utc,symbol,local_date,local_minute,feature_status,full_history_fraction,equity_volume_z,equity_turnover_z,equity_spread_z,option_volume_z,option_dollar_volume_z,equity_volume_ratio,option_volume_ratio,call_put_imbalance,option_contracts_per_100_equity_shares,return_1m,return_5m,return_15m,return_30m,realized_vol_5m,realized_vol_15m,realized_vol_30m,equity_volume_peak_z_5m,equity_volume_peak_z_15m,equity_volume_peak_z_30m,equity_volume_anomaly_count_5m,equity_volume_anomaly_count_15m,equity_volume_anomaly_count_30m,equity_volume_z_slope_5m,equity_volume_z_slope_15m,equity_volume_z_slope_30m,equity_volume_acceleration_5m,spread_widen_count_5m,option_volume_anomaly_count_5m,multivariate_l2,multivariate_2sigma_count,multivariate_change_5m,source_names,research_use_only
2011-02-05T19:30:00.000Z,T00,2011-02-05,19:30,full,0.7,2.54,2.58,2.62,2.66,2.5,2.54,2.58,0.7,0.72,0.001,0.003,-0.001,0.001,0.012,0.013000000000000001,0.01,2.58,2.62,2.66,3.0,3.0,3.0,2.62,2.66,2.5,2.54,3.0,3.0,2.66,3.0,2.54,synthetic_model_fixture,1
2011-02-05T19:30:00.000Z,C0011,2011-02-05,19:30,full,0.05,0.16999999999999998,0.19,0.21,0.15,0.16999999999999998,0.19,0.21,0.07,0.05,0.0,0.002,-0.002,0.0,0.012,0.013000000000000001,0.01,0.16999999999999998,0.19,0.21,0.0,0.0,0.0,0.21,0.15,0.16999999999999998,0.19,0.0,0.0,0.16999999999999998,0.0,0.21,synthetic_model_fixture,1
2011-02-05T19:30:00.000Z,C0012,2011-02-05,19:30,full,0.05,0.16999999999999998,0.19,0.21,0.15,0.16999999999999998,0.19,0.21,0.07,0.05,0.0,0.002,-0.002,0.0,0.012,0.013000000000000001,0.01,0.16999999999999998,0.19,0.21,0.0,0.0,0.0,0.21,0.15,0.16999999999999998,0.19,0.0,0.0,0.16999999999999998,0.0,0.21,synthetic_model_fixture,1
2011-02-05T19:30:00.000Z,C0013,2011-02-05,19:30,full,0.05,0.16999999999999998,0.19,0.21,0.15,0.16999999999999998,0.19,0.21,0.07,0.05,0.0,0.002,-0.002,0.0,0.012,0.013000000000000001,0.01,0.16999999999999998,0.19,0.21,0.0,0.0,0.0,0.21,0.15,0.16999999999999998,0.19,0.0,0.0,0.16999999999999998,0.0,0.21,synthetic_model_fixture,1
2011-02-06T19:31:00.000Z,T00,2011-02-06,19:31,full,0.7,2.54,2.58,2.62,2.66,2.5,2.54,2.58,0.7,0.72,0.001,0.003,-0.001,0.001,0.012,0.013000000000000001,0.01,2.58,2.62,2.66,3.0,3.0,3.0,2.62,2.66,2.5,2.54,3.0,3.0,2.66,3.0,2.54,synthetic_model_fixture,1
2011-02-06T19:31:00.000Z,C0021,2011-02-06,19:31,full,0.05,0.16999999999999998,0.19,0.21,0.15,0.16999999999999998,0.19,0.21,0.07,0.05,0.0,0.002,-0.002,0.0,0.012,0.013000000000000001,0.01,0.16999999999999998,0.19,0.21,0.0,0.0,0.0,0.21,0.15,0.16999999999999998,0.19,0.0,0.0,0.16999999999999998,0.0,0.21,synthetic_model_fixture,1
2011-02-06T19:31:00.000Z,C0022,2011-02-06,19:31,full,0.05,0.16999999999999998,0.19,0.21,0.15,0.16999999999999998,0.19,0.21,0.07,0.05,0.0,0.002,-0.002,0.0,0.012,0.013000000000000001,0.01,0.16999999999999998,0.19,0.21,0.0,0.0,0.0,0.21,0.15,0.16999999999999998,0.19,0.0,0.0,0.16999999999999998,0.0,0.21,synthetic_model_fixture,1
2011-02-06T19:31:00.000Z,C0023,2011-02-06,19:31,full,0.05,0.16999999999999998,0.19,0.21,0.15,0.16999999999999998,0.19,0.21,0.07,0.05,0.0,0.002,-0.002,0.0,0.012,0.013000000000000001,0.01,0.16999999999999998,0.19,0.21,0.0,0.0,0.0,0.21,0.15,0.16999999999999998,0.19,0.0,0.0,0.16999999999999998,0.0,0.21,synthetic_model_fixture,1
2011-02-07T19:32:00.000Z,T01,2011-02-07,19:32,full,0.7,2.54,2.58,2.62,2.66,2.5,2.54,2.58,0.7,0.72,0.001,0.003,-0.001,0.001,0.012,0.013000000000000001,0.01,2.58,2.62,2.66,3.0,3.0,3.0,2.62,2.66,2.5,2.54,3.0,3.0,2.66,3.0,2.54,synthetic_model_fixture,1
2011-02-07T19:32:00.000Z,C0031,2011-02-07,19:32,full,0.05,0.16999999999999998,0.19,0.21,0.15,0.16999999999999998,0.19,0.21,0.07,0.05,0.0,0.002,-0.002,0.0,0.012,0.013000000000000001,0.01,0.16999999999999998,0.19,0.21,0.0,0.0,0.0,0.21,0.15,0.16999999999999998,0.19,0.0,0.0,0.16999999999999998,0.0,0.21,synthetic_model_fixture,1
