feature_id,case_id,symbol,minute_ts_utc,feature_name,feature_value,feature_status,source_role,source_sha256
9,CASE-H001,T00,2015-03-10T19:35:00.000Z,call_put_imbalance,0.7,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
4,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_spread_z,2.62,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
3,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_turnover_z,2.58,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
27,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_acceleration_5m,2.54,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
22,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_anomaly_count_15m,3.0,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
23,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_anomaly_count_30m,3.0,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
21,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_anomaly_count_5m,3.0,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
19,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_peak_z_15m,2.62,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
20,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_peak_z_30m,2.66,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
18,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_peak_z_5m,2.58,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
7,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_ratio,2.54,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
2,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_z,2.54,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
25,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_z_slope_15m,2.66,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
26,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_z_slope_30m,2.5,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
24,CASE-H001,T00,2015-03-10T19:35:00.000Z,equity_volume_z_slope_5m,2.62,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
1,CASE-H001,T00,2015-03-10T19:35:00.000Z,full_history_fraction,0.7,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
31,CASE-H001,T00,2015-03-10T19:35:00.000Z,multivariate_2sigma_count,3.0,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
32,CASE-H001,T00,2015-03-10T19:35:00.000Z,multivariate_change_5m,2.54,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
